dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,11/1/2019 0:24 AM,11/1/2019 1:18 AM,264,264,
B03033,11/1/2019 2:58 AM,11/1/2019 3:03 AM,264,37,
B03040,11/1/2019 2:44 AM,11/1/2019 2:45 AM,68,137,
B01343,11/1/2019 7:26 AM,11/1/2019 7:40 AM,72,61,
B01343,11/1/2019 7:55 AM,11/1/2019 8:01 AM,71,72,
B02930,11/1/2019 11:08 AM,11/1/2019 11:23 AM,264,159,
B02930,11/1/2019 11:37 AM,11/1/2019 12:02 PM,264,136,
B02944,11/1/2019 11:42 AM,11/1/2019 1:38 PM,216,216,
B02944,11/1/2019 11:55 AM,11/1/2019 12:15 PM,10,265,
B00887,11/1/2019 12:00 PM,11/1/2019 12:02 PM,264,229,
B00887,11/1/2019 12:47 PM,11/1/2019 1:18 PM,264,1,
B01717,11/1/2019 6:13 PM,11/1/2019 6:21 PM,264,235,
B01717,11/1/2019 6:23 PM,11/1/2019 7:24 PM,264,69,
B00310,11/1/2019 10:18 PM,11/1/2019 10:24 PM,264,47,
B00310,11/1/2019 10:01 PM,11/1/2019 10:10 PM,264,208,
B00911,11/1/2019 11:39 PM,11/2/2019 0:01 AM,264,42,
B00911,11/1/2019 11:24 PM,11/1/2019 11:31 PM,264,31,
B01196,11/1/2019 11:57 PM,11/2/2019 0:10 AM,264,265,
B01340,11/1/2019 11:59 PM,11/2/2019 0:01 AM,264,20,
B01454,11/1/2019 11:08 PM,11/1/2019 11:20 PM,264,35,
