dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00013,11/1/2019 0:24,11/1/2019 1:18,264,264,
B03033,11/1/2019 2:58,11/1/2019 3:03,264,37,
B03040,11/1/2019 2:44,11/1/2019 2:45,68,137,
B01343,11/1/2019 7:26,11/1/2019 7:40,72,61,
B01343,11/1/2019 7:55,11/1/2019 8:01,71,72,
B02930,11/1/2019 11:08,11/1/2019 11:23,264,159,
B02930,11/1/2019 11:37,11/1/2019 12:02,264,136,
B02944,11/1/2019 11:42,11/1/2019 13:38,216,216,
B02944,11/1/2019 11:55,11/1/2019 12:15,10,265,
B00887,11/1/2019 12:00,11/1/2019 12:02,264,229,
B00887,11/1/2019 12:47,11/1/2019 13:18,264,1,
B01717,11/1/2019 18:13,11/1/2019 18:21,264,235,
B01717,11/1/2019 18:23,11/1/2019 19:24,264,69,
B00310,11/1/2019 22:18,11/1/2019 22:24,264,47,
B00310,11/1/2019 22:01,11/1/2019 22:10,264,208,
B00911,11/1/2019 23:39,11/2/2019 0:01,264,42,
B00911,11/1/2019 23:24,11/1/2019 23:31,264,31,
B01196,11/1/2019 23:57,11/2/2019 0:10,264,265,
B01340,11/1/2019 23:59,11/2/2019 0:01,264,20,
B01454,11/1/2019 23:08,11/1/2019 23:20,264,35,
