dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
BBB,11/1/2019 0:24,11/1/2019 1:18,264,264,
,CCCC,11/1/2019 0:48,264,264,
2.40E+14,11/1/2019 0:54,11/1/2019 1:07,70,92,
B00021,11/1/2019 0:59,,173,70,
B00021,11/1/2019 0:15,11/1/2019 0:24,70,70,
B00021,11/1/2019 0:44,11/1/2019 0:55,56,82,
B00021,kjaskdjsa,11/1/2019 1:11,56,129,
,,11/1/2019 0:51,,188,
,,11/1/2019 0:45,,89,
bbb00034,,11/1/2019 0:47,-5,228,
B00112,11/1/2019 0:21,11/1/2019 1:00,,240,
B00149,11/1/2019 0:54,11/1/2019 1:07,,188,
B00149,11/1/2019 0:14,11/1/2019 0:18,,225,
264,11/1/2019 0:06,11/1/2019 0:11,264,235,
B00248,11/1/2019 0:20,11/1/2019 0:28,,56,
,11/1/2019 0:31,11/1/2019 1:02,264,67,
B00248,,11/1/2019 0:39,264,73,
-2345,ccc190,11/1/2019 0:32,264,216,
B00248,11/1/2019 0:39,11/1/2019 1:05,,98,
B00254,11/1/2019 0:17,11/1/2019 1:10,13,265,
B00254,11/1/2019 0:27,11/1/2019 0:52,13,265,
akdajfkldj,11/1/2019 0:14,11/1/2019 0:44,163,254,
B00254,11/1/2019 0:39,11/1/2019 1:13,87,10,
B00254,11/1/2019 0:35,11/1/2019 0:41,13,158,
D00246,11/1/2019 0:25,11/1/2019 0:55,138,265,
,,,3456,264,
0,11/1/2019 0:54,11/1/2019 1:30,264,264,
