dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B01145,11/1/2019 23:52,11/2/2019 0:08,264,247,
B01145,11/1/2019 23:07,11/1/2019 23:22,264,213,
B01145,11/1/2019 23:34,11/1/2019 23:40,264,212,
B01145,11/1/2019 23:31,11/1/2019 23:39,264,147,
B01145,11/1/2019 23:11,11/1/2019 23:30,264,127,
B01145,11/1/2019 23:42,11/1/2019 23:55,264,119,
B01145,11/1/2019 23:53,11/1/2019 23:56,264,167,
B01145,11/1/2019 23:11,11/1/2019 23:15,264,69,
B01145,11/1/2019 23:33,11/1/2019 23:44,264,94,
B01145,11/1/2019 23:11,11/1/2019 23:30,264,147,
B01145,11/1/2019 23:38,11/1/2019 23:57,264,183,
B01145,11/1/2019 23:09,11/1/2019 23:15,264,244,
B01145,11/1/2019 23:23,11/1/2019 23:26,264,244,
B01145,11/1/2019 23:36,11/1/2019 23:42,264,47,
B01145,11/1/2019 23:03,11/1/2019 23:17,264,243,
B01145,11/1/2019 23:59,11/2/2019 0:04,264,69,
B01145,11/1/2019 23:39,11/2/2019 0:06,264,81,
B01145,11/1/2019 23:26,11/1/2019 23:30,264,69,
B01145,11/1/2019 23:38,11/1/2019 23:41,264,69,
B01145,11/1/2019 23:48,11/1/2019 23:59,264,119,
B01145,11/1/2019 23:52,11/1/2019 23:59,264,152,
B01145,11/1/2019 23:18,11/1/2019 23:21,264,126,
B01145,11/1/2019 23:32,11/1/2019 23:35,264,167,
B01145,11/1/2019 23:55,11/1/2019 23:59,264,69,
B01145,11/1/2019 23:11,11/1/2019 23:25,264,168,
B01145,11/1/2019 23:44,11/1/2019 23:54,264,47,
B01145,11/1/2019 23:15,11/1/2019 23:19,264,18,
B01145,11/1/2019 23:32,11/1/2019 23:43,264,220,
B01145,11/1/2019 23:18,11/1/2019 23:44,264,116,
B01145,11/1/2019 23:04,11/1/2019 23:24,264,119,
B01145,11/1/2019 23:39,11/1/2019 23:46,264,247,
B01145,11/1/2019 23:55,11/2/2019 0:10,264,168,
B01145,11/1/2019 23:43,11/1/2019 23:59,264,47,
B01145,11/1/2019 23:05,11/1/2019 23:24,264,174,
B01145,11/1/2019 23:55,11/2/2019 0:02,264,159,
B01145,11/1/2019 23:31,11/1/2019 23:45,264,235,
B01145,11/1/2019 23:55,11/2/2019 0:16,264,147,
B01145,11/1/2019 23:00,11/1/2019 23:11,264,247,
B01145,11/1/2019 23:21,11/1/2019 23:37,264,174,
B01145,11/1/2019 23:06,11/1/2019 23:26,264,32,
B01145,11/1/2019 23:43,11/2/2019 0:02,264,185,
B01145,11/1/2019 23:29,11/1/2019 23:46,264,208,
B01145,11/1/2019 23:00,11/1/2019 23:10,264,169,
B01145,11/1/2019 23:25,11/1/2019 23:33,264,119,
B01145,11/1/2019 23:33,11/1/2019 23:49,264,254,
B01145,11/1/2019 23:01,11/1/2019 23:07,264,212,
B01145,11/1/2019 23:37,11/1/2019 23:48,264,243,
